AppID,Very Negative,Negative,Neutral,Positive,Very Positive
730,1914,682,2990,1934,2461
570,929,290,1620,1331,1918
578080,2038,814,2848,1911,2346
271590,1129,513,2619,2526,3145
1172470,165,75,270,231,270
252490,2339,622,2474,1869,2660
230410,124,58,296,254,406
440,1896,969,3081,1850,2172
431960,870,468,2645,2766,3167
1938090,2770,994,2722,1614,1829
1086940,987,370,1663,1755,5174
2195250,2459,967,2660,1926,1948
413150,829,280,1726,2359,4743
236390,168,58,194,144,211
582010,1332,449,2060,2245,3864
394360,1754,596,2895,1922,2790
322330,1457,527,2379,2377,3215
289070,1439,693,2463,2360,2963
227300,980,372,2221,2679,3682
221100,2033,522,2472,1881,3048
427520,1603,507,2077,2053,3726
1643320,1970,963,2702,1576,2757
2139460,0,0,6,2,3
1203220,1251,653,2622,2674,2765
739630,2014,522,2212,2234,2963
381210,2533,710,2539,1845,2339
72850,1276,444,2429,1835,3968
550,1304,358,2212,2221,3869
346110,1461,461,2588,2220,3224
4000,1193,414,2540,2365,3454
1085660,2381,859,2348,1429,2041
242760,14,4,22,32,27
105600,27,9,54,40,70
892970,1153,361,2106,2397,3934
1091500,1073,440,1924,1893,4612
1174180,1157,430,1759,1570,5033
292030,905,322,1740,1688,5297
377160,1430,613,2495,2169,3236
945360,1515,621,2732,2450,2627
1145360,1000,349,1662,1868,5050
782330,1518,570,2210,1571,4084
814380,1665,459,1756,1481,4590
1196590,1137,481,2150,2267,3919
367520,1217,557,1829,1534,4819
218620,1637,627,2682,2229,2768
48700,1058,341,2241,2394,3911
261550,1323,575,2065,1822,2558
